C.Wt%,0.249,,eq.strain,eq.stress.MPa,,eq.stress.MPa,theta,,eq.stress.MPa,d.theta/d.stress,d.theta/d.stress(normalised),,eq.stress.MPa,relative.austenite.fraction
,,,0.002067861,341.3956368,,348.4916184,109404.274,,353.6156526,42.21039549,0.140701318,,,
,,,0.002087819,342.9456951,,350.6750034,116759.107,,355.4462136,59.92887891,0.19976293,,,
,,,0.002097798,344.5420797,,351.7395347,121518.6775,,357.2705053,63.1857067,0.210619022,,,
,,,0.002107777,346.0987337,,354.2793934,120696.5952,,359.0844013,39.59556067,0.131985202,,,
,,,0.002137713,347.6027118,,355.7366886,126442.0904,,360.8857315,18.209272,0.060697573,,,
,,,0.002157671,350.718721,,356.8579137,124403.9482,,362.6690536,63.62446447,0.212081548,,,
,,,0.002167649,352.365,,358.3495546,121663.4055,,364.4462638,50.24088573,0.167469619,,,
,,,0.002187605,354.0148442,,360.8713864,120635.4673,,366.2199002,55.83979695,0.186132657,,,
,,,0.002197584,355.5841588,,363.0528829,111628.4524,,367.9844312,33.94049173,0.113134972,,,
,,,0.002207562,357.1062822,,364.007492,109466.8787,,369.7428525,13.72675214,0.04575584,,,
,,,0.002217539,358.5886691,,367.1758473,109299.0375,,371.4944757,25.57164257,0.085238809,,,
,,,0.002237495,360.0871056,,368.2300463,112748.3361,,373.2326592,71.59282822,0.238642761,,,
,,,0.00225745,363.2558693,,369.2480509,107815.5342,,374.9611579,89.92180606,0.299739354,,,
,,,0.002267427,364.8253852,,372.6660226,107255.956,,376.6770292,81.66800412,0.27222668,,,
,,,0.002297359,366.4792977,,374.0812228,110145.7311,,378.383316,46.42140673,0.154738022,,,
,,,0.002307336,368.0016809,,375.1272866,104882.5841,,380.0785069,17.27218229,0.057573941,,,
,,,0.002317313,369.4967521,,376.9954809,101958.6021,,381.7631978,35.26008037,0.117533601,,,
,,,0.002347243,372.4931857,,379.0487154,96425.53932,,383.4376652,52.19528343,0.173984278,,,
,,,0.00235722,374.0753629,,379.9061315,92617.92069,,385.0887113,17.63144827,0.058771494,,,
,,,0.002367196,375.6103415,,381.6524504,92418.39785,,386.7285257,5.503328759,0.018344429,,,
,,,0.002387148,377.1466274,,383.7449485,91213.31354,,388.3577133,6.204856864,0.020682856,,,
,,,0.002407101,378.5711092,,386.4597626,86643.40547,,389.9782911,10.07971898,0.033599063,,,
,,,0.002417077,380.0067723,,387.1622196,90844.34424,,391.5932709,17.78007025,0.059266901,,,
,,,0.002437028,381.3791482,,388.1546834,88885.95065,,393.1409454,38.16946522,0.127231551,,,
,,,0.002456979,384.335169,,390.6424116,86077.67638,,394.7313384,2.814006744,0.009380022,,,
,,,0.002486905,385.8258929,,391.7869908,87095.1985,,396.3107353,19.37430245,0.064581008,,,
,,,0.00249688,387.2866035,,393.3923166,81333.15535,,397.8733485,36.15130927,0.120504364,,,
,,,0.002506855,388.6553561,,395.7253622,79481.37155,,399.4264708,7.888015137,0.026293384,,,
,,,0.00253678,390.0592651,,396.7271659,78457.22425,,400.9673366,1.098883312,0.003662944,,,
,,,0.002546754,391.3932923,,398.8038778,73004.04662,,402.5026225,9.692636515,0.032308788,,,
,,,0.002566703,394.1733093,,399.3996112,69759.4876,,404.0159203,8.108039837,0.027026799,,,
,,,0.002596626,395.577466,,400.1640056,72013.60678,,405.5157639,14.42909641,0.048096988,,,
,,,0.0026066,396.9116277,,402.1975464,71682.37744,,407.0036848,6.859390025,0.022864633,,,
,,,0.002636521,398.2413276,,404.5373321,71709.79625,,408.4830352,4.134502852,0.013781676,,,
,,,0.002646495,399.4860553,,405.9145343,68938.57918,,409.950749,19.24380209,0.064146007,,,
,,,0.002656468,400.7059427,,407.274702,67681.44227,,411.4127789,22.92772205,0.07642574,,,
,,,0.002686388,401.9487909,,408.0055981,71012.0116,,412.8564114,17.94822441,0.059827415,,,
,,,0.002716307,404.5320214,,410.0836035,67069.37092,,414.2879078,35.17608709,0.117253624,,,
,,,0.002736253,405.8207446,,411.4385281,65470.17629,,415.7122324,37.15120898,0.123837363,,,
,,,0.002756198,407.2089891,,413.9957842,59226.67614,,417.1263084,17.55837014,0.0585279,,,
,,,0.002766171,408.5161238,,414.5165188,59025.12695,,418.5349777,0.639932963,0.00213311,,,
,,,0.002796087,409.8712479,,416.2995623,58235.98103,,419.9393877,25.01892233,0.083396408,,,
,,,0.002816031,411.1850481,,417.4279202,55637.14578,,421.3392935,27.82657135,0.092755238,,,
,,,0.002855918,413.8351878,,418.945835,52101.80813,,422.7193299,8.38252462,0.027941749,,,
,,,0.002865889,415.0952646,,419.4581488,50131.31956,,424.0910442,12.7310278,0.042436759,,,
,,,0.002895803,416.2119562,,422.0129587,49602.94773,,425.4466987,0.910341282,0.003034471,,,
,,,0.002915745,417.3991673,,423.4692157,47830.23027,,426.7904891,2.771814321,0.009239381,,,
,,,0.002945657,418.5284184,,424.3952465,47583.6071,,428.1215393,14.528389,0.048427963,,,
,,,0.002955628,419.7612945,,425.7288861,46057.20571,,429.4429531,40.62506969,0.135416899,,,
,,,0.003005479,422.1676154,,426.6460377,45694.28864,,430.735605,9.564400307,0.031881334,,,
,,,0.003035389,423.3219827,,428.0250546,46174.1892,,432.0197824,13.86690275,0.046223009,,,
,,,0.003055328,424.4846241,,430.3615207,43848.79049,,433.298278,20.04932431,0.066831081,,,
,,,0.003085236,425.639117,,431.2624958,43650.20724,,434.5666394,39.19004268,0.130633476,,,
,,,0.003105174,426.7521092,,432.5330221,42355.66991,,435.8292789,33.83019774,0.112767326,,,
,,,0.00313508,427.9440417,,433.3868933,41810.79678,,437.0839463,20.392831,0.067976103,,,
,,,0.003184923,430.2641209,,434.9837774,39576.96331,,438.2794634,3.283170162,0.010943901,,,
,,,0.003204859,431.3648752,,435.7074797,38594.26956,,439.5061286,7.416337259,0.024721124,,,
,,,0.003234763,432.5197427,,436.8919919,37784.06351,,440.7234783,0.994502181,0.003315007,,,
,,,0.003254698,433.593228,,439.0685041,36790.59219,,441.9310263,12.69756051,0.042325202,,,
,,,0.003294567,434.7027897,,440.2260755,35895.53857,,443.1304354,9.606158964,0.03202053,,,
,,,0.003314501,435.8161919,,440.8795056,35550.76098,,444.3185509,7.525573882,0.025085246,,,
,,,0.003344401,436.9464341,,442.3011339,34691.72657,,445.4804799,17.72608815,0.059086961,,,
